-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	20,	-1,	7,	-1,	15,	6,	-1,	2,	23,	23,	3,	-1,	9,	10,	-1,	2,	-1
-1,	13,	-1,	24,	-1,	13,	14,	-1,	3,	11,	15,	15,	-1,	14,	12,	-1,	17,	-1
-1,	14,	-1,	10,	-1,	22,	11,	-1,	11,	7,	10,	16,	-1,	13,	9,	-1,	7,	-1
-1,	2,	-1,	11,	-1,	6,	4,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	9,	-1,	16,	-1,	8,	24,	-1,	4,	20,	16,	15,	-1,	9,	24,	-1,	14,	-1
-1,	24,	-1,	16,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	16,	-1,	20,	-1,	22,	16,	-1,	18,	0,	14,	16,	-1,	1,	1,	-1,	3,	-1
-1,	9,	-1,	13,	-1,	12,	4,	-1,	22,	11,	11,	12,	-1,	15,	14,	-1,	10,	-1
-1,	9,	-1,	2,	-1,	22,	20,	-1,	13,	17,	24,	13,	-1,	18,	15,	-1,	0,	-1
-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	16,	-1,	15,	-1,	0,	11,	-1,	6,	3,	15,	4,	-1,	23,	17,	-1,	20,	-1
-1,	18,	-1,	11,	-1,	21,	5,	-1,	0,	19,	12,	20,	-1,	23,	15,	-1,	20,	-1
-1,	17,	-1,	3,	-1,	1,	6,	-1,	1,	8,	2,	21,	-1,	22,	17,	-1,	-1,	-1
-1,	20,	-1,	10,	-1,	9,	1,	-1,	17,	11,	24,	23,	-1,	5,	10,	-1,	22,	-1
-1,	15,	-1,	8,	-1,	13,	10,	-1,	16,	20,	21,	13,	-1,	18,	18,	-1,	17,	-1
-1,	9,	-1,	17,	-1,	13,	9,	-1,	16,	12,	11,	24,	-1,	13,	17,	-1,	22,	-1
-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
