-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	24,	1,	-1,	4,	8,	-1,	18,	13,	4,	12,	2,	3,	-1
-1,	20,	10,	-1,	24,	16,	-1,	3,	7,	19,	23,	16,	18,	-1
-1,	23,	17,	-1,	5,	9,	-1,	10,	17,	17,	5,	2,	3,	-1
-1,	21,	19,	-1,	9,	19,	-1,	11,	1,	21,	3,	13,	14,	-1
-1,	2,	24,	-1,	24,	23,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	1,	19,	-1,	20,	19,	-1,	14,	7,	-1,	8,	9,	17,	-1
-1,	17,	18,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	19,	8,	-1,	10,	18,	-1,	8,	15,	-1,	6,	18,	17,	-1
-1,	24,	6,	-1,	22,	14,	-1,	16,	0,	-1,	23,	16,	1,	-1
-1,	16,	0,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	20,	7,	-1,	0,	12,	-1,	15,	23,	-1,	18,	6,	15,	-1
-1,	12,	15,	-1,	19,	20,	-1,	17,	20,	-1,	17,	1,	8,	-1
-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
