-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	15,	-1,	5,	-1,	18,	9,	8,	7,	11,	23,	-1
-1,	2,	-1,	19,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	12,	-1,	2,	-1,	10,	-1,	10,	16,	3,	2,	-1
-1,	12,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	20,	-1,	12,	-1,	4,	24,	-1,	9,	19,	16,	-1
-1,	2,	-1,	11,	-1,	-1,	-1,	-1,	21,	0,	5,	-1
-1,	14,	-1,	2,	-1,	11,	14,	-1,	-1,	-1,	-1,	-1
-1,	3,	-1,	1,	-1,	12,	13,	-1,	23,	-1,	17,	-1
-1,	14,	-1,	1,	-1,	20,	20,	-1,	7,	-1,	-1,	-1
-1,	20,	-1,	19,	-1,	23,	19,	-1,	10,	-1,	23,	-1
-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
