25,    	-1,    10,    	2,    	2,		0,		2,		0,		-1,		2,		2,		0,		2,		2,		0,		10
4,     	-1,    -1,   	-1,   	-1,   	-1,		-1,		-1,		-1,		-1,		-1,		-1, 	-1, 	-1, 	-1,		-1
8,     	-1,     2,    	2,    	-1,  	0,		2,		2,		-1,		2,		2,		0,		8,		-1,		0,		8
-1,    	-1,     0,  	0, 		-1, 	0,		0,		2,		-1,		0,		0,		0,		0,		-1,		4,		0	
8, 		-1, 	2, 		10, 	-1, 	2,		2,		0,		-1,		10,		2,		0,		10,		-1,		2,		2
8,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1
0,		-1,		0,		2,		-1,		10,		10,		2,		-1,		4,		0,		2,		0,		-1,		8,		8
-1,		-1,		0,		2,		-1,		0,		0,		0,		-1,		4,		0,		2,		0,		-1,		2,		0
2,		-1,		0,		0,		-1,		2,		2,		0,		-1,		0,		0,		0,		2,		-1,		4,		0
10,		-1,		10,		0,		-1,		0,		0,		10,		-1,		2,		0,		0,		4,		-1,		4,		0
0,		-1,		2,		0,		-1,		2,		10,		0,		-1,		2,		0,		0,		4,		-1,		4,		0
0,		-1,    -1,   	-1,   	-1,   	-1,		-1,		-1,		-1,		-1,		-1,		-1, 	-1, 	-1, 	-1,		-1
0,		-1,		2,		2,		-1,		0,		10,		2,		-1,		2,		10,		10,		10,		-1,		0,		8
-1,		-1,		10,		0,		-1,		0,		0,		10,		-1,		0,		0,		25,		10,		-1,		4,		4
8,		-1,		2,		2,		-1,		20,		10,		0,		-1,		10,		2,		0,		10,		-1,		0,		0
-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1
